Nome do teste	Teste realizado em	Parceiro	Periodo	Descricao	Vencedor	Resultado	Decisao tomada	Grupo maior lucro_liquido	Valor maior lucro_liquido	Grupo maior roi	Valor maior roi	Grupo maior lucro_por_comprador	Valor maior lucro_por_comprador	Grupo maior gmv	Valor maior gmv	Grupo maior total_compradores	Valor maior total_compradores
Teste A/B Cashback - parceiro_b	17/06/2026	parceiro_b	2011-05-01 a 2011-06-30	3 grupos avaliados em 61 dias.	grupo_1	grupo_1 venceu por consenso.	Escalar grupo_1 para 100% do trafego.	grupo_1	R$ 286.570,00	grupo_1	1,75x	grupo_1	R$ 35,87	grupo_1	R$ 4.093.818,00	grupo_1	7.990
Teste A/B Cashback - parceiro_a	17/06/2026	parceiro_a	2011-01-01 a 2011-04-02	3 grupos avaliados em 92 dias.	grupo_1	grupo_1 venceu por consenso.	Escalar grupo_1 para 100% do trafego.	grupo_1	R$ 404.711,00	grupo_1	1,73x	grupo_1	R$ 42,01	grupo_3	R$ 6.785.856,00	grupo_3	11.410
